title,company,location,remote,tags,job_types,url,description
Frontend- / Web-Entwickler (w/m/d),keyperformance GmbH,Cologne,False,Web Development,berufserfahren,https://www.arbeitnow.com/jobs/companies/keyperformance-gmbh/frontend-web-entwickler-cologne-171993,"<p>Wir suchen zum nächstmöglichen Zeitpunkt einen Frontend- / Web-Entwickler (m/w/d) in Vollzeit für unseren Standort in Köln. Du bist von Anfang an dabei und bringst das Unternehmen mit deinen Ideen voran. Wir schätzen Deine Leistung, garantieren Dir die Mitarbeit in einem jungen Unternehmen, Flexibilität bei der Arbeit und nette Kolleg:innen. Neben namhaften Kunden und anspruchsvollen Projekten hast Du in einem innovativen Unternehmen die Chance, Deinen Karriereweg durch Engagement und mit gut"
"(Senior) Technical Product Manager, Rail Integrations (all genders)",Distribusion Technologies,Berlin,False,"Information technology, bachelor's degree","Full-time permanent, experienced",https://www.arbeitnow.com/jobs/companies/distribusion-technologies/senior-technical-product-manager-rail-integrations-all-genders-berlin-405737,"<p><strong>Distribusion</strong> is the world’s leading ground transportation marketplace and gives travellers seamless access to ground transportation online, from search to ticket purchase. We have built a cutting-edge B2B technology platform that connects bus, rail, and ferry operators in 70+ countries with the biggest online retailers, including Google Maps and <a rel=""noopener"" target=""_blank"" href=""http://Booking.com"">Booking.com</a>.</p><p><span style="""">We are shaping the future of trave"
"Software Engineer, Data Infrastructure & Acquisition",Speechify,Germany,False,,,https://www.arbeitnow.com/jobs/companies/speechify/software-engineer-data-infrastructure-acquisition-germany-155360,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App.&nbsp;Google recently named Speechify the Chrome Extension of the Year"
"Senior Software Engineer, Windows/Desktop Applications",Speechify,Germany,False,,,https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-windows-desktop-applications-germany-298048,"<div class=""p-rich_text_section""><strong data-stringify-type=""bold"">Mission</strong></div>
<div class=""p-rich_text_section"">
<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS ap"
"Software Engineer, iOS Core Product",Speechify,Germany,False,,,https://www.arbeitnow.com/jobs/companies/speechify/software-engineer-ios-core-product-germany-349277,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and "
"Software Engineer, Platform",Speechify,Germany,False,,,https://www.arbeitnow.com/jobs/companies/speechify/software-engineer-platform-germany-370180,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and "
"Staff Machine Learning Engineer, AI Applications, Berlin",Bolt Technology,"Berlin, Berlin, Germany",False,,,https://www.arbeitnow.com/jobs/companies/bolt-technology/staff-machine-learning-engineer-ai-applications-berlin-195916,"<p>&lt;gh-intro&gt;<br>&lt;text&gt;<br>We are looking for a <strong>Staff Machine Learning Engineer, AI Applications</strong> to join Bolt's Customer Support Product team and lead the quality, learning, and knowledge foundations behind our AI automation stack. You will have the opportunity to shape how we evaluate and align LLM-based systems, improve knowledge quality and retrieval, and build the feedback loops that continuously improve customer support automation. If you are passionate about ap"
HR Software Berater:in / Consultant (w/m/d),Fynancy GmbH,Hamburg,False,HR,berufserfahren,https://www.arbeitnow.com/jobs/companies/fynancy-gmbh/hr-software-beraterin-consultant-hamburg-108256,"<p>Wir sind Fynancy – ein Hamburger Microsoft-Partner, der den Mittelstand bei der Digitalisierung begleitet. Neben unserem ERP-Schwerpunkt sind wir offizieller Expert Partner von Factorial, einer modernen All-in-one HR-Plattform, die Personalverwaltung, Zeiterfassung, Gehaltsabrechnung, Recruiting und Dokumentenmanagement in einer Lösung vereint. Mehr als 16.000 Unternehmen nutzen Factorial bereits – und wir begleiten den Mittelstand dabei, ihre HR-Prozesse endlich digital und effizient zu gest"
ERP Berater:in Microsoft Dynamics 365 Business Central (w/m/d),Fynancy GmbH,Hamburg,False,"SAP/ERP Consulting, Development",berufserfahren,https://www.arbeitnow.com/jobs/companies/fynancy-gmbh/erp-beraterin-microsoft-dynamics-365-business-central-hamburg-59162,"<p>Wir sind Fynancy – ein Hamburger Microsoft-Partner, der den Mittelstand bei der Digitalisierung begleitet. Mit Business Central als Kern implementieren, automatisieren und erweitern wir digitale Geschäftsprozesse – inklusive Power Automate, Power BI, eigener Apps und mehr. Seit 2022. Seit 2025 zertifizierter Microsoft Solutions Partner.</p>
<p>Deine Aufgaben</p>
<p>Du analysierst Geschäftsprozesse bei unseren Kund:innen und erarbeitest passgenaue Lösungen in Microsoft Dynamics 365 Business Ce"
Business Partner Finance / Financial Performance (m/w/d),AVS Services GmbH,Leverkusen,False,Business Analyst,berufserfahren,https://www.arbeitnow.com/jobs/companies/avs-services-gmbh/business-partner-finance-financial-performance-leverkusen-312607,"<p>Die AVS Services GmbH hat ihren Hauptsitz in Leverkusen. Sie ist ein führender Anbieter von Verkehrssicherheitslösungen in Deutschland und ist auf die Verkehrssicherung sowie das Verkehrsmanagement in Baustellenbereichen auf Autobahnen, Bundes- und Schnellstraßen sowie für urbane Verkehrsnetze spezialisiert. Mit jahrzehntelanger Erfahrung in der Planung und Umsetzung von temporären Verkehrssicherungsmaßnahmen und einem Team aus hochqualifizierten Fachleuten steht die Sicherheit der Menschen u"
